l2_path_len,l2_prox,l2_path_steps,failures,diversity,time
2.8199017423926245,2.8145145957394795,1.003921568627451,0.05133928571428571,5.058182287924256,3033.045862674713
2.8200332838813105,2.8132106107001507,1.0042735042735043,0.06921241050119331,4.95851958041451,2860.6045348644257
2.8190701228509685,2.8109013992376584,1.0082559339525283,0.05555555555555555,4.865306497882341,2347.650291442871
2.8276532751292205,2.821816625338356,1.0035180299032542,0.08009708737864078,4.9687755301524765,2742.0373873710632
2.8657728931772217,2.846118392294292,1.0147492625368733,0.0423728813559322,5.005019937041954,3160.735634803772
2.814098841026357,2.80786397775414,1.0042301184433164,0.0794392523364486,4.832228507973299,2874.092087984085
2.821064946288904,2.815805977344259,1.0034632034632034,0.07673860911270983,5.1485499539580095,2808.538408756256
2.838445657981995,2.8187601169676584,1.014018691588785,0.050997782705099776,5.300669235716253,3060.237112045288
2.818065305616018,2.8121735909272605,1.003274394237066,0.0450281425891182,5.135417339945903,3618.9001319408417
2.8035979719937028,2.8007360293655688,1.0026109660574412,0.05665024630541872,5.125134631173154,2834.9098632335663
2.8679415491239233,2.8537644539395215,1.0100574712643677,0.09019607843137255,4.824898520294268,1729.9145300388336
2.8239453868792643,2.8186655676856085,1.002724795640327,0.08933002481389578,4.855005442205561,2707.0244932174683
2.8525921050158662,2.8334945277061974,1.0144189991518235,0.05755395683453238,4.968966190053224,2804.582445383072
2.833524264531802,2.827677866862365,1.0046113306982871,0.06296296296296296,5.080764337747616,3654.5202934741974
2.8405959572139188,2.8331233678107233,1.0048309178743962,0.09448818897637795,4.821382094676209,2524.61563539505
2.8572071536718955,2.848302839523234,1.0073260073260073,0.04461942257217848,5.226982226101003,2550.146518945694
2.855333426879269,2.8429740663389222,1.0092165898617511,0.06465517241379311,4.94837416212289,3101.976373195648
2.8482070901750007,2.8445543004940985,1.0023228803716608,0.08306709265175719,5.041997198530508,2120.630774497986
2.846125102732712,2.841833077880749,1.0032441200324411,0.06378132118451026,5.012520903914853,2728.6862914562225
2.8342543630121915,2.826768899599731,1.0046838407494145,0.07173913043478261,5.024664653660518,2678.1002666950226
