acc,neg_acc,pos_acc,f1
0.7833333333333333,0.5788402848423194,0.8404890531703156,0.858428924059823
0.7848888888888889,0.549949545913219,0.8512396694214877,0.8605589167386921
0.7671111111111111,0.55599603567889,0.8281294757949011,0.8465592972181551
0.7777777777777778,0.5659397715472482,0.8354537743850721,0.8552821997105644
0.7846666666666666,0.566468253968254,0.847651775486827,0.8593409783713165
0.7753333333333333,0.5541463414634147,0.8405755395683453,0.8524733693273019
0.7795555555555556,0.5704500978473581,0.8410005750431282,0.8550131540485237
0.7715555555555556,0.5562130177514792,0.8341939185312679,0.8497954412624197
0.7724444444444445,0.5618199802176064,0.8334766408713098,0.8502923976608188
0.7686666666666667,0.533201189296333,0.8367230020051561,0.8487578090948713
0.7831111111111111,0.5573440643863179,0.8471192241871078,0.858877964141122
0.7708888888888888,0.6105675146771037,0.8179988499137435,0.8466002083023358
0.7757777777777778,0.5654648956356736,0.8401044689495066,0.8515958229151346
0.78,0.5744888023369036,0.8407716671465592,0.8550512445095168
0.7702222222222223,0.5699029126213592,0.8296829971181556,0.8477620730270906
0.7762222222222223,0.5729783037475346,0.8353413654618473,0.8525838091055482
0.7902222222222223,0.5855327468230694,0.8504457865976417,0.8623505395158939
0.7742222222222223,0.562992125984252,0.835820895522388,0.8514619883040935
0.7777777777777778,0.5965909090909091,0.8333333333333334,0.8516320474777448
0.7748888888888888,0.5655391120507399,0.8306133933595948,0.8535492265432991
