acc,neg_acc,pos_acc,f1,tn,fp,fn,tp
0.8215555555555556,0.3662258392675483,0.9488200170599943,0.8926039855557041,360,623,180,3337
0.8248888888888889,0.3703329969727548,0.9532630379025363,0.8946242310778283,367,624,164,3345
0.8182222222222222,0.3815659068384539,0.944428530507018,0.8896384241770102,385,624,194,3297
0.8235555555555556,0.3811007268951194,0.9440203562340967,0.8937366167023555,367,596,198,3339
0.8188888888888889,0.39087301587301587,0.9424398625429553,0.8898201973773152,394,614,201,3291
0.814,0.3921951219512195,0.9384172661870503,0.8862617203424378,402,623,214,3261
0.8144444444444444,0.3806262230919765,0.9419206440483037,0.8869635846757817,389,633,202,3276
0.8106666666666666,0.3915187376725838,0.9325874928284567,0.8841446831656241,397,617,235,3251
0.8146666666666667,0.3867457962413452,0.938664373746059,0.8870530877573132,391,620,214,3275
0.8153333333333334,0.36273538156590684,0.946147235749069,0.8882613957240824,366,643,188,3303
0.8202222222222222,0.3702213279678068,0.9478037649743297,0.8914822266934943,368,626,183,3323
0.8193333333333334,0.42759295499021527,0.9344450833812536,0.8888281143169697,437,585,228,3250
0.8131111111111111,0.3899430740037951,0.942542077771329,0.8853754940711462,411,643,198,3248
0.8122222222222222,0.41285296981499514,0.9303196084077167,0.8843574654440947,424,603,242,3231
0.8166666666666667,0.4009708737864078,0.940057636887608,0.8877398285481016,413,617,208,3262
0.8188888888888889,0.3826429980276134,0.9457831325301205,0.8899986502901877,388,626,189,3297
0.8173333333333334,0.4056695992179863,0.9384526890997987,0.8881328252585737,415,608,214,3263
0.8188888888888889,0.40846456692913385,0.9385763490241102,0.8891910265125765,415,601,214,3270
0.8142222222222222,0.3731060606060606,0.9494773519163763,0.8866594360086768,394,662,174,3270
0.8277777777777777,0.3858350951374207,0.9454136184580754,0.8965977318212142,365,581,194,3360
