acc,neg_acc,pos_acc,f1,tn,fp,fn,tp
0.8211111111111111,0.3560528992878942,0.951094682968439,0.8925950633755837,350,633,172,3345
0.8215555555555556,0.3521695257315843,0.9541179823311485,0.8929190558741166,349,642,161,3348
0.8106666666666666,0.3399405351833499,0.9467201374964194,0.8858214955775932,343,666,186,3305
0.8175555555555556,0.33852544132917967,0.947978512864009,0.8909259997342899,326,637,184,3353
0.8164444444444444,0.3353174603174603,0.9553264604810997,0.8898372899439851,338,670,156,3336
0.8077777777777778,0.34536585365853656,0.9441726618705036,0.8835330550693417,354,671,194,3281
0.8144444444444444,0.3639921722113503,0.9468085106382979,0.8874814714997977,372,650,185,3293
0.8088888888888889,0.3609467455621302,0.9391853126792886,0.8839092872570194,366,648,212,3274
0.8151111111111111,0.3570722057368942,0.9478360561765549,0.8882621541767391,361,650,182,3307
0.8068888888888889,0.34390485629335976,0.9407046691492409,0.8831518085249428,347,662,207,3284
0.8157777777777778,0.3440643863179074,0.9495151169423844,0.8892747428876719,342,652,177,3329
0.8164444444444444,0.38551859099804303,0.9430707303047728,0.8881668020579474,394,628,198,3280
0.8068888888888889,0.3377609108159393,0.9503772489843296,0.8828683110931392,356,698,171,3275
0.8135555555555556,0.34371957156767285,0.9524906420961704,0.8874580818242789,353,674,165,3308
0.8133333333333334,0.36213592233009706,0.9472622478386167,0.8867008362557324,373,657,183,3287
0.8113333333333334,0.34812623274161736,0.9460699942627654,0.8859637340496979,353,661,188,3298
0.8148888888888889,0.35777126099706746,0.9493816508484325,0.8879623402824478,366,657,176,3301
0.8128888888888889,0.3464566929133858,0.9489092996555684,0.8870405151596458,352,664,178,3306
0.8155555555555556,0.3778409090909091,0.9497677119628339,0.8874118285404232,399,657,173,3271
0.8242222222222222,0.37209302325581395,0.9445694991558807,0.894603597601599,352,594,197,3357
