l2_path_len,l2_prox,l2_path_steps,failures,diversity,time
3.1988166823352824,3.1988166823352824,1.0,0.0,2.445148397816417,1474.2380828857422
3.317385431030032,3.317385431030032,1.0,0.0,2.5708706626460187,1484.0102899074554
3.2077786002914728,3.2077786002914728,1.0,0.0,2.6615783241026465,1531.0724687576294
3.418655889493007,3.418655889493007,1.0,0.0,3.2787927690626506,1462.7413251399994
3.120513690345501,3.120513690345501,1.0,0.0,2.4238569652640845,1428.15394449234
3.301781188191391,3.301781188191391,1.0,0.0,2.8338392928558434,1574.992362499237
3.121016520048252,3.121016520048252,1.0,0.0,2.307991417393573,1616.4147670269012
3.396260162869967,3.396260162869967,1.0,0.0,2.475544279975753,1649.4060008525848
3.0149801773848197,3.0149801773848197,1.0,0.0,2.589933578995466,1526.8757536411285
3.0227480850283164,3.0227480850283164,1.0,0.0,2.493757444637098,1553.0229637622833
3.321646792552481,3.321646792552481,1.0,0.0,2.9357133875916257,1510.0161135196686
3.2758191152670864,3.2758191152670864,1.0,0.0,2.7626320604996417,1682.7950327396393
3.2945228986430246,3.2945228986430246,1.0,0.0,3.150839148091666,1489.1633229255676
3.226295685353326,3.226295685353326,1.0,0.0,2.1531563280681985,1466.5241875648499
3.247187916406263,3.247187916406263,1.0,0.0,2.2972607997998877,1511.6704442501068
3.2600296578838877,3.2600296578838877,1.0,0.0,2.5694061784502527,1517.5029594898224
3.1771026449609265,3.1771026449609265,1.0,0.0,3.4216464366306307,1477.6123051643372
3.4222945406141174,3.4222945406141174,1.0,0.0,2.564566034874474,1470.6538653373718
3.285245521271631,3.285245521271631,1.0,0.0,2.665100308915307,1559.98224234581
3.34378469122933,3.34378469122933,1.0,0.0,2.554798613789829,1485.650331735611
