l2_path_len,l2_prox,l2_path_steps,failures,diversity,time
5.0085804368695115,5.0085804368695115,1.0,0.0,2.739738300231294,1930.6960520744324
5.394814662905211,5.394814662905211,1.0,0.0,3.040973367075033,2095.912230014801
5.3326641946395155,5.3326641946395155,1.0,0.0,2.8746095121579325,2342.9369230270386
5.522087135016339,5.522087135016339,1.0,0.0,4.720974574217581,2638.8506152629852
4.969645449943842,4.969645449943842,1.0,0.0,1.7790265951326782,1996.6162328720093
5.237662173212432,5.237662173212432,1.0,0.0,2.6499595183258506,2185.0933825969696
5.448608295431207,5.448608295431207,1.0,0.0,4.827210389883699,2306.7628767490387
5.20413074370294,5.20413074370294,1.0,0.0,3.1368327282020334,2479.2914819717407
5.4178990221868615,5.4178990221868615,1.0,0.0,2.4943328161858314,2433.201519727707
5.417414814647355,5.417414814647355,1.0,0.0,2.926245737112057,1934.0833232402802
5.305802219760566,5.305802219760566,1.0,0.0,2.5870987278739292,2141.777678012848
5.28062697879822,5.28062697879822,1.0,0.0,2.26338212286844,2279.9702429771423
5.132436306133071,5.132436306133071,1.0,0.0,2.865764931482189,2266.665195465088
5.148594257136691,5.148594257136691,1.0,0.0,2.670613947181098,2500.656327009201
5.306801945022028,5.306801945022028,1.0,0.0,4.009510799834295,2340.891210079193
5.408679825538691,5.408679825538691,1.0,0.0,3.477412599769821,2276.1663794517517
4.959503265517451,4.959503265517451,1.0,0.0,2.453177324957724,2322.6914405822754
4.986227379836557,4.986227379836557,1.0,0.0,2.524438431741323,2042.8626279830933
5.3880781366998685,5.3880781366998685,1.0,0.0,3.0272110429072843,2059.246375322342
5.408849858602225,5.408849858602225,1.0,0.0,2.4698245513447166,1809.099886417389
