l2_path_len,l2_prox,l2_path_steps,failures,diversity
7.839292127606561,4.337985848259584,2.9176733780760626,0.3407079646017699,4.997070366475211
8.679240303554227,4.628312529312938,3.193469785575049,0.358950328022493,4.000220672645091
8.526952731434513,4.478204443252139,3.1541830924222514,0.34453057708871665,6.05001511415332
8.566779313395118,4.59636566650695,3.1642384105960266,0.3300798580301686,5.481041696710026
8.463150421878503,4.578955278188265,3.1301498127340825,0.35448776065276516,5.106257883144201
8.916832714171907,4.694655727111461,3.2689497716894977,0.3493761140819964,4.206638294653243
8.140180065625827,4.45495976242048,3.0319148936170213,0.3380281690140845,5.125986784246436
8.57642315053501,4.602891219497925,3.160873440285205,0.3450087565674256,5.260321369143518
8.12691680784364,4.380536110007655,3.033585222502099,0.308964316797215,5.78161308108674
8.607808582317384,4.620489057109476,3.166434863235976,0.3510830324909747,4.243033101330064
8.862108306535788,4.685069480812288,3.2611262488646684,0.326605504587156,4.51787564266793
8.579798911821324,4.634980498514247,3.1556962025316455,0.3715194908512331,4.165575862129043
8.37153552712707,4.492130373983705,3.112418300653595,0.3330427201394943,4.98215001083624
8.84147867420836,4.699315281695774,3.24,0.3219597550306212,4.30487393834945
8.565539707356947,4.561191960339997,3.163247863247863,0.3378607809847199,5.258030940058485
8.100781638865522,4.384181462192201,3.0231607629427795,0.3645021645021645,5.3178353236142595
9.027865414660688,4.767132988344388,3.3251589464123525,0.34405719392314565,4.3202886590615694
8.632432474247063,4.624744032353675,3.176574196389256,0.3382867132867133,4.239688570168321
8.247969749660657,4.514361788656753,3.058080808080808,0.34219269102990035,5.304778401694476
8.247657544173853,4.483657193020521,3.053475935828877,0.34212840809146877,4.881566437201197
