l2_path_len,l2_prox,l2_path_steps,failures,diversity
36.07268070348069,36.07268070348069,1.0,0.0,125.75519736119597
35.07417546858578,35.07417546858578,1.0,0.0,109.13427577945943
36.1348844954255,36.1348844954255,1.0,0.0,117.69804969918158
38.304327066257585,38.304327066257585,1.0,0.0,125.85126204189567
33.93957629843033,33.93957629843033,1.0,0.0,111.56805385092282
34.76501813224679,34.76501813224679,1.0,0.0,120.0502095494056
33.736541606051205,33.736541606051205,1.0,0.0,114.42575704308351
36.55942953870496,36.55942953870496,1.0,0.0,113.5738711740926
31.92140155867833,31.92140155867833,1.0,0.0,111.59333192712205
36.76418081430019,36.76418081430019,1.0,0.0,115.88958996372224
32.59396334199466,32.59396334199466,1.0,0.0,110.43402690988519
29.811954636233946,29.811954636233946,1.0,0.0,87.22775370652393
36.51945219912918,36.51945219912918,1.0,0.0,123.25914409075898
32.16640767627705,32.16640767627705,1.0,0.0,108.17809564623552
31.199740457107094,31.199740457107094,1.0,0.0,97.92036047874585
33.330137565294955,33.330137565294955,1.0,0.0,114.94941579511539
31.56849738073789,31.56849738073789,1.0,0.0,99.57371839660216
32.094710625577065,32.094710625577065,1.0,0.0,100.48413704751363
30.04497573303516,30.04497573303516,1.0,0.0,101.32508950718038
35.36761714198683,35.36761714198683,1.0,0.0,124.32082423352513
