l2_path_len,l2_prox,l2_path_steps,failures,diversity
18.011990570676097,18.011990570676097,1.0,0.0,71.9866695859763
21.669231988018435,21.669231988018435,1.0,0.0,74.9198239711186
20.427942295776774,20.427942295776774,1.0,0.0,73.38677199150281
21.03335301135752,21.03335301135752,1.0,0.0,74.33796068813238
17.22867439853076,17.22867439853076,1.0,0.0,64.9735317054224
22.60982951552334,22.60982951552334,1.0,0.0,80.88081811878307
22.84184185889163,22.84184185889163,1.0,0.0,84.50190565072548
18.630008843605925,18.630008843605925,1.0,0.0,73.04989789486274
21.176763294812815,21.176763294812815,1.0,0.0,79.81337163755951
19.801510031826506,19.801510031826506,1.0,0.0,74.00955059669656
20.315115216092526,20.315115216092526,1.0,0.0,76.7551301699451
15.37548333390497,15.37548333390497,1.0,0.0,59.54244406303717
20.94902063577577,20.94902063577577,1.0,0.0,73.93008704134175
16.223231530680543,16.223231530680543,1.0,0.0,59.52328419686908
19.84906897672694,19.84906897672694,1.0,0.0,73.21634461658361
21.65308238474469,21.65308238474469,1.0,0.0,82.13141533543673
19.424893953865382,19.424893953865382,1.0,0.0,67.61729082187846
18.815911052707126,18.815911052707126,1.0,0.0,67.06095453001859
20.106137942329386,20.106137942329386,1.0,0.0,74.46426464561827
16.78913569743368,16.78913569743368,1.0,0.0,59.165023772157625
