acc,neg_acc,pos_acc,f1,tn,fp,fn,tp
0.9320436782883432,0.19798136645962733,0.9884796752820391,0.9643044313748327,255,1033,193,16560
0.9307688043900005,0.17879256965944273,0.988775449280554,0.9636612260335747,231,1061,188,16561
0.9342608502854609,0.15579119086460033,0.9910199226880761,0.9656371327577215,191,1035,151,16664
0.9344271381852447,0.1868399675060926,0.9891731112433075,0.9656494091001481,230,1001,182,16628
0.9333739814866139,0.20373376623376624,0.9868522815158546,0.9650357786956775,251,981,221,16588
0.9338728451859653,0.1897810218978102,0.9884578772013327,0.9653409255977455,234,999,194,16614
0.9306579457901447,0.1807044410413476,0.9891843441888258,0.9635903256788616,236,1070,181,16554
0.9334294107865417,0.19951923076923078,0.9879711784672185,0.9650699473577059,249,999,202,16591
0.9329859763871182,0.22203947368421054,0.9843684992570579,0.9647860658841348,270,946,263,16562
0.9342054209855329,0.1827782290820471,0.9892325996430696,0.9655392654957178,225,1006,181,16629
0.932320824787983,0.12441679626749612,0.994330050731125,0.9646507049593236,160,1126,95,16660
0.9344825674851727,0.18815052041633307,0.9899952358265841,0.9656694742956724,235,1014,168,16624
0.9360345878831551,0.1941908713692946,0.9891304347826086,0.9665118978525827,234,971,183,16653
0.9347042846848844,0.23766447368421054,0.9850817236255572,0.9656819903280313,289,927,251,16574
0.932209966188127,0.17109375,0.9903347055664936,0.9644693646320559,219,1061,162,16599
0.9334848400864697,0.17679558011049723,0.9906402766185763,0.9651507231224952,224,1043,157,16617
0.93132309738928,0.20123361603700848,0.987876254180602,0.963899653273506,261,1036,203,16541
0.9345934260850286,0.14955537590945836,0.9923827660080933,0.9658287964786285,185,1052,128,16676
0.93320769358683,0.1988993710691824,0.9889081042399666,0.9649413749963632,253,1019,186,16583
0.9333185521866859,0.20160642570281123,0.9875565610859729,0.9650056723972423,251,994,209,16587
