l2_path_len,l2_prox,l2_path_steps,failures,diversity,time
4.318732357492633,2.9566365630641402,1.8681732580037664,0.292,4.5780648595615325,2837.954822540283
4.360627034100117,3.0030768163094232,1.8896713615023475,0.29,4.7214740752773725,2834.2684075832367
4.366851957323992,3.010160357918088,1.8831908831908832,0.298,4.567658224251631,2854.5229182243347
4.261862562401818,2.9507319090677098,1.8582533150434386,0.271,4.832748394055313,2859.1357266902924
4.345468826127021,2.989301515808099,1.883568075117371,0.29,4.705255397682399,2843.5861492156982
4.386802343578604,3.000818995314421,1.8949835911861228,0.289,4.862145654948855,2849.366666316986
4.325070079378976,2.9729428965295823,1.8720194647201946,0.315,4.3923213401594605,2870.633837223053
4.239144726589826,2.9468142949125227,1.8447293447293447,0.298,4.568624087487342,2893.8495395183563
4.299177981810442,2.947262470624727,1.868962219033955,0.303,4.543354049338293,2875.961782693863
4.3380997445830785,2.9694507624073645,1.8725198412698412,0.328,4.322210930626509,2806.4946460723877
4.3516256064087235,2.9991278559194834,1.8742228598756576,0.303,4.5719036546661505,2818.179059743881
4.3691693188396625,2.9973527805899693,1.8847619047619049,0.3,4.534245107315781,2826.0278573036194
4.3679670037542975,3.0237283523795617,1.8881151346332405,0.282,4.851790659160145,2796.6704983711243
4.293602048273366,2.963976698926558,1.8622159090909092,0.296,4.574177490892786,2821.158081293106
4.334670728636713,2.967579354389834,1.8728852309099222,0.271,4.882756394766582,2813.233344078064
4.390041914892772,2.9911725183671307,1.8872762457668117,0.311,4.3855467626685405,2795.006774663925
4.370651705667357,3.0021278519511454,1.8854018069424632,0.299,4.568421471762956,2816.024139881134
4.423183135087855,3.0334190940886034,1.9081400636653023,0.267,4.91322801705022,2814.79482793808
4.359384178426391,2.9870912022546685,1.8816595945308816,0.293,4.6286777799593,2383.831869840622
4.339137422906018,2.975853257386455,1.8809182209469153,0.303,4.490975082371639,2376.9653277397156
